Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Notes
Tue Dec 6 2016,8:00 pm,San Antonio Spurs,,Minnesota Timberwolves,,,,
Tue Dec 6 2016,9:00 pm,Phoenix Suns,,Utah Jazz,,,,
Tue Dec 6 2016,7:00 pm,Orlando Magic,,Washington Wizards,,,,
Wed Dec 7 2016,7:30 pm,Miami Heat,,Atlanta Hawks,,,,
Wed Dec 7 2016,7:30 pm,Denver Nuggets,,Brooklyn Nets,,,,
Wed Dec 7 2016,7:00 pm,Detroit Pistons,,Charlotte Hornets,,,,
Wed Dec 7 2016,8:30 pm,Sacramento Kings,,Dallas Mavericks,,,,
Wed Dec 7 2016,8:00 pm,Los Angeles Lakers,,Houston Rockets,,,,
Wed Dec 7 2016,10:30 pm,Golden State Warriors,,Los Angeles Clippers,,,,
Wed Dec 7 2016,8:00 pm,Portland Trail Blazers,,Milwaukee Bucks,,,,
Wed Dec 7 2016,8:00 pm,Cleveland Cavaliers,,New York Knicks,,,,
Wed Dec 7 2016,7:00 pm,Boston Celtics,,Orlando Magic,,,,
Wed Dec 7 2016,9:00 pm,Indiana Pacers,,Phoenix Suns,,,,
Thu Dec 8 2016,9:30 pm,San Antonio Spurs,,Chicago Bulls,,,,
Thu Dec 8 2016,8:00 pm,Portland Trail Blazers,,Memphis Grizzlies,,,,
Thu Dec 8 2016,8:00 pm,Philadelphia 76ers,,New Orleans Pelicans,,,,
Thu Dec 8 2016,7:00 pm,Minnesota Timberwolves,,Toronto Raptors,,,,
Thu Dec 8 2016,9:00 pm,Golden State Warriors,,Utah Jazz,,,,
Thu Dec 8 2016,7:00 pm,Denver Nuggets,,Washington Wizards,,,,
Fri Dec 9 2016,7:30 pm,Toronto Raptors,,Boston Celtics,,,,
Fri Dec 9 2016,7:00 pm,Orlando Magic,,Charlotte Hornets,,,,
Fri Dec 9 2016,7:30 pm,Miami Heat,,Cleveland Cavaliers,,,,
Fri Dec 9 2016,8:30 pm,Indiana Pacers,,Dallas Mavericks,,,,
Fri Dec 9 2016,10:30 pm,Phoenix Suns,,Los Angeles Lakers,,,,
Fri Dec 9 2016,8:00 pm,Atlanta Hawks,,Milwaukee Bucks,,,,
Fri Dec 9 2016,8:00 pm,Detroit Pistons,,Minnesota Timberwolves,,,,
Fri Dec 9 2016,8:00 pm,Houston Rockets,,Oklahoma City Thunder,,,,
Fri Dec 9 2016,10:30 pm,New York Knicks,,Sacramento Kings,,,,
Sat Dec 10 2016,8:00 pm,Miami Heat,,Chicago Bulls,,,,
Sat Dec 10 2016,7:30 pm,Charlotte Hornets,,Cleveland Cavaliers,,,,
Sat Dec 10 2016,8:00 pm,Dallas Mavericks,,Houston Rockets,,,,
Sat Dec 10 2016,7:00 pm,Portland Trail Blazers,,Indiana Pacers,,,,
Sat Dec 10 2016,10:30 pm,New Orleans Pelicans,,Los Angeles Clippers,,,,
Sat Dec 10 2016,8:00 pm,Golden State Warriors,,Memphis Grizzlies,,,,
Sat Dec 10 2016,7:00 pm,Denver Nuggets,,Orlando Magic,,,,
Sat Dec 10 2016,8:30 pm,Brooklyn Nets,,San Antonio Spurs,,,,
Sat Dec 10 2016,9:00 pm,Sacramento Kings,,Utah Jazz,,,,
Sat Dec 10 2016,7:00 pm,Milwaukee Bucks,,Washington Wizards,,,,
Sun Dec 11 2016,6:00 pm,Philadelphia 76ers,,Detroit Pistons,,,,
Sun Dec 11 2016,9:30 pm,New York Knicks,,Los Angeles Lakers,,,,
Sun Dec 11 2016,7:00 pm,Golden State Warriors,,Minnesota Timberwolves,,,,
Sun Dec 11 2016,7:00 pm,Boston Celtics,,Oklahoma City Thunder,,,,
Sun Dec 11 2016,8:30 pm,New Orleans Pelicans,,Phoenix Suns,,,,
Mon Dec 12 2016,8:30 pm,Denver Nuggets,,Dallas Mavericks,,,,
Mon Dec 12 2016,8:00 pm,Brooklyn Nets,,Houston Rockets,,,,
Mon Dec 12 2016,7:00 pm,Charlotte Hornets,,Indiana Pacers,,,,
Mon Dec 12 2016,10:30 pm,Portland Trail Blazers,,Los Angeles Clippers,,,,
Mon Dec 12 2016,7:30 pm,Washington Wizards,,Miami Heat,,,,
Mon Dec 12 2016,10:30 pm,Los Angeles Lakers,,Sacramento Kings,,,,
Mon Dec 12 2016,7:30 pm,Milwaukee Bucks,,Toronto Raptors,,,,
Tue Dec 13 2016,7:30 pm,Orlando Magic,,Atlanta Hawks,,,,
Tue Dec 13 2016,8:00 pm,Minnesota Timberwolves,,Chicago Bulls,,,,
Tue Dec 13 2016,7:00 pm,Memphis Grizzlies,,Cleveland Cavaliers,,,,
Tue Dec 13 2016,8:00 pm,Golden State Warriors,,New Orleans Pelicans,,,,
Tue Dec 13 2016,9:00 pm,New York Knicks,,Phoenix Suns,,,,
Tue Dec 13 2016,10:30 pm,Oklahoma City Thunder,,Portland Trail Blazers,,,,
Wed Dec 14 2016,7:30 pm,Los Angeles Lakers,,Brooklyn Nets,,,,
Wed Dec 14 2016,8:30 pm,Detroit Pistons,,Dallas Mavericks,,,,
Wed Dec 14 2016,8:00 pm,Sacramento Kings,,Houston Rockets,,,,
Wed Dec 14 2016,8:00 pm,Cleveland Cavaliers,,Memphis Grizzlies,,,,
Wed Dec 14 2016,7:00 pm,Indiana Pacers,,Miami Heat,,,,
Wed Dec 14 2016,7:00 pm,Los Angeles Clippers,,Orlando Magic,,,,
Wed Dec 14 2016,7:00 pm,Toronto Raptors,,Philadelphia 76ers,,,,
Wed Dec 14 2016,9:30 pm,Boston Celtics,,San Antonio Spurs,,,,
Wed Dec 14 2016,9:00 pm,Oklahoma City Thunder,,Utah Jazz,,,,
Wed Dec 14 2016,7:00 pm,Charlotte Hornets,,Washington Wizards,,,,
Thu Dec 15 2016,9:00 pm,Portland Trail Blazers,,Denver Nuggets,,,,
Thu Dec 15 2016,10:30 pm,New York Knicks,,Golden State Warriors,,,,
Thu Dec 15 2016,8:00 pm,Chicago Bulls,,Milwaukee Bucks,,,,
Thu Dec 15 2016,8:00 pm,Indiana Pacers,,New Orleans Pelicans,,,,
Thu Dec 15 2016,9:00 pm,San Antonio Spurs,,Phoenix Suns,,,,
Fri Dec 16 2016,7:30 pm,Charlotte Hornets,,Boston Celtics,,,,
Fri Dec 16 2016,8:00 pm,Milwaukee Bucks,,Chicago Bulls,,,,
Fri Dec 16 2016,8:00 pm,New Orleans Pelicans,,Houston Rockets,,,,
Fri Dec 16 2016,8:00 pm,Sacramento Kings,,Memphis Grizzlies,,,,
Fri Dec 16 2016,8:00 pm,Los Angeles Clippers,,Miami Heat,,,,
Fri Dec 16 2016,7:00 pm,Brooklyn Nets,,Orlando Magic,,,,
Fri Dec 16 2016,8:00 pm,Los Angeles Lakers,,Philadelphia 76ers,,,,
Fri Dec 16 2016,7:30 pm,Atlanta Hawks,,Toronto Raptors,,,,
Fri Dec 16 2016,10:30 pm,Dallas Mavericks,,Utah Jazz,,,,
Fri Dec 16 2016,7:00 pm,Detroit Pistons,,Washington Wizards,,,,
Sat Dec 17 2016,7:30 pm,Charlotte Hornets,,Atlanta Hawks,,,,
Sat Dec 17 2016,7:30 pm,Los Angeles Lakers,,Cleveland Cavaliers,,,,
Sat Dec 17 2016,9:00 pm,New York Knicks,,Denver Nuggets,,,,
Sat Dec 17 2016,7:00 pm,Indiana Pacers,,Detroit Pistons,,,,
Sat Dec 17 2016,10:30 pm,Portland Trail Blazers,,Golden State Warriors,,,,
Sat Dec 17 2016,8:00 pm,Houston Rockets,,Minnesota Timberwolves,,,,
Sat Dec 17 2016,5:00 pm,Phoenix Suns,,Oklahoma City Thunder,,,,
Sun Dec 18 2016,7:00 pm,Sacramento Kings,,Dallas Mavericks,,,,
Sun Dec 18 2016,6:00 pm,Utah Jazz,,Memphis Grizzlies,,,,
Sun Dec 18 2016,6:00 pm,Boston Celtics,,Miami Heat,,,,
Sun Dec 18 2016,6:00 pm,Toronto Raptors,,Orlando Magic,,,,
Sun Dec 18 2016,6:00 pm,Brooklyn Nets,,Philadelphia 76ers,,,,
Sun Dec 18 2016,7:00 pm,New Orleans Pelicans,,San Antonio Spurs,,,,
Sun Dec 18 2016,3:30 pm,Los Angeles Clippers,,Washington Wizards,,,,
Mon Dec 19 2016,8:00 pm,Detroit Pistons,,Chicago Bulls,,,,
Mon Dec 19 2016,9:00 pm,Dallas Mavericks,,Denver Nuggets,,,,
Mon Dec 19 2016,7:00 pm,Washington Wizards,,Indiana Pacers,,,,
Mon Dec 19 2016,8:00 pm,Phoenix Suns,,Minnesota Timberwolves,,,,
Mon Dec 19 2016,8:00 pm,Atlanta Hawks,,Oklahoma City Thunder,,,,
Tue Dec 20 2016,7:00 pm,Los Angeles Lakers,,Charlotte Hornets,,,,
Tue Dec 20 2016,10:30 pm,Utah Jazz,,Golden State Warriors,,,,
Tue Dec 20 2016,8:00 pm,San Antonio Spurs,,Houston Rockets,,,,
Tue Dec 20 2016,10:30 pm,Denver Nuggets,,Los Angeles Clippers,,,,
Tue Dec 20 2016,8:00 pm,Boston Celtics,,Memphis Grizzlies,,,,
Tue Dec 20 2016,7:30 pm,Orlando Magic,,Miami Heat,,,,
Tue Dec 20 2016,8:00 pm,Cleveland Cavaliers,,Milwaukee Bucks,,,,
Tue Dec 20 2016,7:30 pm,Indiana Pacers,,New York Knicks,,,,
Tue Dec 20 2016,7:00 pm,New Orleans Pelicans,,Philadelphia 76ers,,,,
Tue Dec 20 2016,10:30 pm,Portland Trail Blazers,,Sacramento Kings,,,,
Tue Dec 20 2016,7:30 pm,Brooklyn Nets,,Toronto Raptors,,,,
Wed Dec 21 2016,7:30 pm,Minnesota Timberwolves,,Atlanta Hawks,,,,
Wed Dec 21 2016,8:00 pm,Washington Wizards,,Chicago Bulls,,,,
Wed Dec 21 2016,7:00 pm,Milwaukee Bucks,,Cleveland Cavaliers,,,,
Wed Dec 21 2016,7:30 pm,Memphis Grizzlies,,Detroit Pistons,,,,
Wed Dec 21 2016,8:00 pm,Oklahoma City Thunder,,New Orleans Pelicans,,,,
Wed Dec 21 2016,9:00 pm,Houston Rockets,,Phoenix Suns,,,,
Wed Dec 21 2016,10:00 pm,Dallas Mavericks,,Portland Trail Blazers,,,,
Wed Dec 21 2016,9:00 pm,Sacramento Kings,,Utah Jazz,,,,
Thu Dec 22 2016,7:30 pm,Golden State Warriors,,Brooklyn Nets,,,,
Thu Dec 22 2016,8:00 pm,Boston Celtics,,Indiana Pacers,,,,
Thu Dec 22 2016,10:30 pm,San Antonio Spurs,,Los Angeles Clippers,,,,
Thu Dec 22 2016,7:30 pm,Los Angeles Lakers,,Miami Heat,,,,
Thu Dec 22 2016,7:30 pm,Orlando Magic,,New York Knicks,,,,
Fri Dec 23 2016,7:30 pm,Oklahoma City Thunder,,Boston Celtics,,,,
Fri Dec 23 2016,7:00 pm,Chicago Bulls,,Charlotte Hornets,,,,
Fri Dec 23 2016,7:30 pm,Brooklyn Nets,,Cleveland Cavaliers,,,,
Fri Dec 23 2016,9:00 pm,Atlanta Hawks,,Denver Nuggets,,,,
Fri Dec 23 2016,7:30 pm,Golden State Warriors,,Detroit Pistons,,,,
Fri Dec 23 2016,10:30 pm,Dallas Mavericks,,Los Angeles Clippers,,,,
Fri Dec 23 2016,8:00 pm,Houston Rockets,,Memphis Grizzlies,,,,
Fri Dec 23 2016,8:00 pm,Washington Wizards,,Milwaukee Bucks,,,,
Fri Dec 23 2016,8:00 pm,Sacramento Kings,,Minnesota Timberwolves,,,,
Fri Dec 23 2016,8:00 pm,Miami Heat,,New Orleans Pelicans,,,,
Fri Dec 23 2016,7:00 pm,Los Angeles Lakers,,Orlando Magic,,,,
Fri Dec 23 2016,9:00 pm,Philadelphia 76ers,,Phoenix Suns,,,,
Fri Dec 23 2016,10:00 pm,San Antonio Spurs,,Portland Trail Blazers,,,,
Fri Dec 23 2016,9:00 pm,Toronto Raptors,,Utah Jazz,,,,
Sun Dec 25 2016,2:30 pm,Golden State Warriors,,Cleveland Cavaliers,,,,
Sun Dec 25 2016,10:30 pm,Los Angeles Clippers,,Los Angeles Lakers,,,,
Sun Dec 25 2016,12:00 pm,Boston Celtics,,New York Knicks,,,,
Sun Dec 25 2016,8:00 pm,Minnesota Timberwolves,,Oklahoma City Thunder,,,,
Sun Dec 25 2016,5:00 pm,Chicago Bulls,,San Antonio Spurs,,,,
Mon Dec 26 2016,7:30 pm,Charlotte Hornets,,Brooklyn Nets,,,,
Mon Dec 26 2016,8:00 pm,Indiana Pacers,,Chicago Bulls,,,,
Mon Dec 26 2016,7:30 pm,Cleveland Cavaliers,,Detroit Pistons,,,,
Mon Dec 26 2016,8:00 pm,Phoenix Suns,,Houston Rockets,,,,
Mon Dec 26 2016,10:30 pm,Denver Nuggets,,Los Angeles Clippers,,,,
Mon Dec 26 2016,8:00 pm,Atlanta Hawks,,Minnesota Timberwolves,,,,
Mon Dec 26 2016,8:00 pm,Dallas Mavericks,,New Orleans Pelicans,,,,
Mon Dec 26 2016,7:00 pm,Memphis Grizzlies,,Orlando Magic,,,,
Mon Dec 26 2016,10:00 pm,Toronto Raptors,,Portland Trail Blazers,,,,
Mon Dec 26 2016,10:30 pm,Philadelphia 76ers,,Sacramento Kings,,,,
Mon Dec 26 2016,7:00 pm,Milwaukee Bucks,,Washington Wizards,,,,
Tue Dec 27 2016,7:30 pm,Memphis Grizzlies,,Boston Celtics,,,,
Tue Dec 27 2016,8:30 pm,Houston Rockets,,Dallas Mavericks,,,,
Tue Dec 27 2016,10:30 pm,Utah Jazz,,Los Angeles Lakers,,,,
Tue Dec 27 2016,7:30 pm,Oklahoma City Thunder,,Miami Heat,,,,
Wed Dec 28 2016,7:30 pm,New York Knicks,,Atlanta Hawks,,,,
Wed Dec 28 2016,8:00 pm,Brooklyn Nets,,Chicago Bulls,,,,
Wed Dec 28 2016,9:00 pm,Minnesota Timberwolves,,Denver Nuggets,,,,
Wed Dec 28 2016,7:30 pm,Milwaukee Bucks,,Detroit Pistons,,,,
Wed Dec 28 2016,10:30 pm,Toronto Raptors,,Golden State Warriors,,,,
Wed Dec 28 2016,8:00 pm,Los Angeles Clippers,,New Orleans Pelicans,,,,
Wed Dec 28 2016,7:00 pm,Charlotte Hornets,,Orlando Magic,,,,
Wed Dec 28 2016,10:00 pm,Sacramento Kings,,Portland Trail Blazers,,,,
Wed Dec 28 2016,8:30 pm,Phoenix Suns,,San Antonio Spurs,,,,
Wed Dec 28 2016,7:00 pm,Indiana Pacers,,Washington Wizards,,,,
Thu Dec 29 2016,7:00 pm,Miami Heat,,Charlotte Hornets,,,,
Thu Dec 29 2016,8:00 pm,Boston Celtics,,Cleveland Cavaliers,,,,
Thu Dec 29 2016,10:30 pm,Dallas Mavericks,,Los Angeles Lakers,,,,
Thu Dec 29 2016,8:00 pm,Oklahoma City Thunder,,Memphis Grizzlies,,,,
Thu Dec 29 2016,9:00 pm,Toronto Raptors,,Phoenix Suns,,,,
Thu Dec 29 2016,9:00 pm,Philadelphia 76ers,,Utah Jazz,,,,
Fri Dec 30 2016,8:00 pm,Detroit Pistons,,Atlanta Hawks,,,,
Fri Dec 30 2016,7:30 pm,Miami Heat,,Boston Celtics,,,,
Fri Dec 30 2016,9:00 pm,Philadelphia 76ers,,Denver Nuggets,,,,
Fri Dec 30 2016,10:30 pm,Dallas Mavericks,,Golden State Warriors,,,,
Fri Dec 30 2016,8:00 pm,Los Angeles Clippers,,Houston Rockets,,,,
Fri Dec 30 2016,4:00 pm,Chicago Bulls,,Indiana Pacers,,,,
Fri Dec 30 2016,8:00 pm,Milwaukee Bucks,,Minnesota Timberwolves,,,,
Fri Dec 30 2016,8:00 pm,New York Knicks,,New Orleans Pelicans,,,,
Fri Dec 30 2016,8:30 pm,Portland Trail Blazers,,San Antonio Spurs,,,,
Fri Dec 30 2016,7:00 pm,Brooklyn Nets,,Washington Wizards,,,,
Sat Dec 31 2016,7:00 pm,Milwaukee Bucks,,Chicago Bulls,,,,
Sat Dec 31 2016,7:00 pm,Cleveland Cavaliers,,Charlotte Hornets,,,,
Sat Dec 31 2016,8:00 pm,New York Knicks,,Houston Rockets,,,,
Sat Dec 31 2016,8:00 pm,Los Angeles Clippers,,Oklahoma City Thunder,,,,
Sat Dec 31 2016,5:00 pm,Memphis Grizzlies,,Sacramento Kings,,,,
Sat Dec 31 2016,8:00 pm,Phoenix Suns,,Utah Jazz,,,,
Sun Jan 1 2017,6:00 pm,San Antonio Spurs,,Atlanta Hawks,,,,
Sun Jan 1 2017,6:00 pm,Orlando Magic,,Indiana Pacers,,,,
Sun Jan 1 2017,9:30 pm,Toronto Raptors,,Los Angeles Lakers,,,,
Sun Jan 1 2017,6:00 pm,Detroit Pistons,,Miami Heat,,,,
Sun Jan 1 2017,7:00 pm,Portland Trail Blazers,,Minnesota Timberwolves,,,,
Mon Jan 2 2017,7:30 pm,Utah Jazz,,Brooklyn Nets,,,,
Mon Jan 2 2017,8:00 pm,Charlotte Hornets,,Chicago Bulls,,,,
Mon Jan 2 2017,7:00 pm,New Orleans Pelicans,,Cleveland Cavaliers,,,,
Mon Jan 2 2017,10:30 pm,Denver Nuggets,,Golden State Warriors,,,,
Mon Jan 2 2017,8:00 pm,Washington Wizards,,Houston Rockets,,,,
Mon Jan 2 2017,10:30 pm,Phoenix Suns,,Los Angeles Clippers,,,,
Mon Jan 2 2017,7:00 pm,Oklahoma City Thunder,,Milwaukee Bucks,,,,
Mon Jan 2 2017,7:30 pm,Orlando Magic,,New York Knicks,,,,
Tue Jan 3 2017,7:30 pm,Utah Jazz,,Boston Celtics,,,,
Tue Jan 3 2017,8:30 pm,Washington Wizards,,Dallas Mavericks,,,,
Tue Jan 3 2017,9:00 pm,Sacramento Kings,,Denver Nuggets,,,,
Tue Jan 3 2017,7:30 pm,Indiana Pacers,,Detroit Pistons,,,,
Tue Jan 3 2017,10:30 pm,Memphis Grizzlies,,Los Angeles Lakers,,,,
Tue Jan 3 2017,7:00 pm,Minnesota Timberwolves,,Philadelphia 76ers,,,,
Tue Jan 3 2017,9:00 pm,Miami Heat,,Phoenix Suns,,,,
Tue Jan 3 2017,8:30 pm,Toronto Raptors,,San Antonio Spurs,,,,
Wed Jan 4 2017,7:00 pm,Oklahoma City Thunder,,Charlotte Hornets,,,,
Wed Jan 4 2017,8:00 pm,Chicago Bulls,,Cleveland Cavaliers,,,,
Wed Jan 4 2017,10:30 pm,Portland Trail Blazers,,Golden State Warriors,,,,
Wed Jan 4 2017,10:30 pm,Memphis Grizzlies,,Los Angeles Clippers,,,,
Wed Jan 4 2017,7:30 pm,Milwaukee Bucks,,New York Knicks,,,,
Wed Jan 4 2017,7:00 pm,Atlanta Hawks,,Orlando Magic,,,,
Wed Jan 4 2017,10:30 pm,Miami Heat,,Sacramento Kings,,,,
Thu Jan 5 2017,8:30 pm,Phoenix Suns,,Dallas Mavericks,,,,
Thu Jan 5 2017,10:30 pm,San Antonio Spurs,,Denver Nuggets,,,,
Thu Jan 5 2017,7:30 pm,Charlotte Hornets,,Detroit Pistons,,,,
Thu Jan 5 2017,8:00 pm,Oklahoma City Thunder,,Houston Rockets,,,,
Thu Jan 5 2017,7:00 pm,Brooklyn Nets,,Indiana Pacers,,,,
Thu Jan 5 2017,8:00 pm,Atlanta Hawks,,New Orleans Pelicans,,,,
Thu Jan 5 2017,10:00 pm,Los Angeles Lakers,,Portland Trail Blazers,,,,
Thu Jan 5 2017,7:30 pm,Utah Jazz,,Toronto Raptors,,,,
Fri Jan 6 2017,7:30 pm,Philadelphia 76ers,,Boston Celtics,,,,
Fri Jan 6 2017,7:30 pm,Cleveland Cavaliers,,Brooklyn Nets,,,,
Fri Jan 6 2017,10:30 pm,Memphis Grizzlies,,Golden State Warriors,,,,
Fri Jan 6 2017,10:30 pm,Miami Heat,,Los Angeles Lakers,,,,
Fri Jan 6 2017,8:00 pm,New York Knicks,,Milwaukee Bucks,,,,
Fri Jan 6 2017,7:00 pm,Houston Rockets,,Orlando Magic,,,,
Fri Jan 6 2017,10:30 pm,Los Angeles Clippers,,Sacramento Kings,,,,
Fri Jan 6 2017,7:00 pm,Minnesota Timberwolves,,Washington Wizards,,,,
Sat Jan 7 2017,7:30 pm,New Orleans Pelicans,,Boston Celtics,,,,
Sat Jan 7 2017,8:00 pm,Toronto Raptors,,Chicago Bulls,,,,
Sat Jan 7 2017,8:30 pm,Atlanta Hawks,,Dallas Mavericks,,,,
Sat Jan 7 2017,7:00 pm,New York Knicks,,Indiana Pacers,,,,
Sat Jan 7 2017,8:00 pm,Utah Jazz,,Minnesota Timberwolves,,,,
Sat Jan 7 2017,8:00 pm,Denver Nuggets,,Oklahoma City Thunder,,,,
Sat Jan 7 2017,10:00 pm,Detroit Pistons,,Portland Trail Blazers,,,,
Sat Jan 7 2017,8:30 pm,Charlotte Hornets,,San Antonio Spurs,,,,
Sun Jan 8 2017,12:00 pm,Philadelphia 76ers,,Brooklyn Nets,,,,
Sun Jan 8 2017,3:30 pm,Miami Heat,,Los Angeles Clippers,,,,
Sun Jan 8 2017,9:30 pm,Orlando Magic,,Los Angeles Lakers,,,,
Sun Jan 8 2017,8:00 pm,Utah Jazz,,Memphis Grizzlies,,,,
Sun Jan 8 2017,3:30 pm,Washington Wizards,,Milwaukee Bucks,,,,
Sun Jan 8 2017,8:30 pm,Cleveland Cavaliers,,Phoenix Suns,,,,
Sun Jan 8 2017,9:00 pm,Golden State Warriors,,Sacramento Kings,,,,
Sun Jan 8 2017,6:00 pm,Houston Rockets,,Toronto Raptors,,,,
Mon Jan 9 2017,8:00 pm,Oklahoma City Thunder,,Chicago Bulls,,,,
Mon Jan 9 2017,8:00 pm,Dallas Mavericks,,Minnesota Timberwolves,,,,
Mon Jan 9 2017,7:30 pm,New Orleans Pelicans,,New York Knicks,,,,
Tue Jan 10 2017,7:30 pm,Atlanta Hawks,,Brooklyn Nets,,,,
Tue Jan 10 2017,10:30 pm,Miami Heat,,Golden State Warriors,,,,
Tue Jan 10 2017,8:00 pm,Charlotte Hornets,,Houston Rockets,,,,
Tue Jan 10 2017,10:30 pm,Portland Trail Blazers,,Los Angeles Lakers,,,,
Tue Jan 10 2017,10:30 pm,Detroit Pistons,,Sacramento Kings,,,,
Tue Jan 10 2017,8:30 pm,Milwaukee Bucks,,San Antonio Spurs,,,,
Tue Jan 10 2017,7:30 pm,Boston Celtics,,Toronto Raptors,,,,
Tue Jan 10 2017,9:00 pm,Cleveland Cavaliers,,Utah Jazz,,,,
Tue Jan 10 2017,7:00 pm,Chicago Bulls,,Washington Wizards,,,,
Wed Jan 11 2017,8:00 pm,Washington Wizards,,Boston Celtics,,,,
Wed Jan 11 2017,10:30 pm,Orlando Magic,,Los Angeles Clippers,,,,
Wed Jan 11 2017,8:00 pm,Houston Rockets,,Minnesota Timberwolves,,,,
Wed Jan 11 2017,8:00 pm,Memphis Grizzlies,,Oklahoma City Thunder,,,,
Wed Jan 11 2017,7:00 pm,New York Knicks,,Philadelphia 76ers,,,,
Wed Jan 11 2017,10:30 pm,Cleveland Cavaliers,,Portland Trail Blazers,,,,
Thu Jan 12 2017,7:30 pm,New Orleans Pelicans,,Brooklyn Nets,,,,
Thu Jan 12 2017,3:00 pm,Indiana Pacers,,Denver Nuggets,,,,
Thu Jan 12 2017,10:30 pm,Detroit Pistons,,Golden State Warriors,,,,
Thu Jan 12 2017,8:00 pm,Chicago Bulls,,New York Knicks,,,,
Thu Jan 12 2017,10:00 pm,Dallas Mavericks,,Phoenix Suns,,,,
Thu Jan 12 2017,8:30 pm,Los Angeles Lakers,,San Antonio Spurs,,,,
Fri Jan 13 2017,8:00 pm,Boston Celtics,,Atlanta Hawks,,,,
Fri Jan 13 2017,8:00 pm,Memphis Grizzlies,,Houston Rockets,,,,
Fri Jan 13 2017,8:00 pm,Miami Heat,,Milwaukee Bucks,,,,
Fri Jan 13 2017,8:00 pm,Oklahoma City Thunder,,Minnesota Timberwolves,,,,
Fri Jan 13 2017,7:00 pm,Charlotte Hornets,,Philadelphia 76ers,,,,
Fri Jan 13 2017,10:00 pm,Orlando Magic,,Portland Trail Blazers,,,,
Fri Jan 13 2017,10:30 pm,Cleveland Cavaliers,,Sacramento Kings,,,,
Fri Jan 13 2017,7:30 pm,Brooklyn Nets,,Toronto Raptors,,,,
Fri Jan 13 2017,10:30 pm,Detroit Pistons,,Utah Jazz,,,,
Sat Jan 14 2017,5:00 pm,New Orleans Pelicans,,Chicago Bulls,,,,
Sat Jan 14 2017,3:30 pm,Los Angeles Lakers,,Los Angeles Clippers,,,,
Sat Jan 14 2017,6:00 pm,San Antonio Spurs,,Phoenix Suns,,,,
Sat Jan 14 2017,9:00 pm,Orlando Magic,,Utah Jazz,,,,
Sat Jan 14 2017,8:00 pm,Philadelphia 76ers,,Washington Wizards,,,,
Sun Jan 15 2017,3:00 pm,Milwaukee Bucks,,Atlanta Hawks,,,,
Sun Jan 15 2017,6:00 pm,Houston Rockets,,Brooklyn Nets,,,,
Sun Jan 15 2017,4:00 pm,Minnesota Timberwolves,,Dallas Mavericks,,,,
Sun Jan 15 2017,9:30 pm,Detroit Pistons,,Los Angeles Lakers,,,,
Sun Jan 15 2017,9:00 pm,Chicago Bulls,,Memphis Grizzlies,,,,
Sun Jan 15 2017,9:00 pm,Oklahoma City Thunder,,Sacramento Kings,,,,
Sun Jan 15 2017,3:00 pm,New York Knicks,,Toronto Raptors,,,,
Mon Jan 16 2017,7:30 pm,Charlotte Hornets,,Boston Celtics,,,,
Mon Jan 16 2017,5:00 pm,Orlando Magic,,Denver Nuggets,,,,
Mon Jan 16 2017,8:00 pm,Cleveland Cavaliers,,Golden State Warriors,,,,
Mon Jan 16 2017,4:00 pm,New Orleans Pelicans,,Indiana Pacers,,,,
Mon Jan 16 2017,10:30 pm,Oklahoma City Thunder,,Los Angeles Clippers,,,,
Mon Jan 16 2017,3:30 pm,Philadelphia 76ers,,Milwaukee Bucks,,,,
Mon Jan 16 2017,1:00 pm,Atlanta Hawks,,New York Knicks,,,,
Mon Jan 16 2017,9:00 pm,Utah Jazz,,Phoenix Suns,,,,
Mon Jan 16 2017,2:00 pm,Portland Trail Blazers,,Washington Wizards,,,,
Tue Jan 17 2017,7:30 pm,Toronto Raptors,,Brooklyn Nets,,,,
Tue Jan 17 2017,8:00 pm,Dallas Mavericks,,Chicago Bulls,,,,
Tue Jan 17 2017,10:30 pm,Denver Nuggets,,Los Angeles Lakers,,,,
Tue Jan 17 2017,7:30 pm,Houston Rockets,,Miami Heat,,,,
Tue Jan 17 2017,8:30 pm,Minnesota Timberwolves,,San Antonio Spurs,,,,
Wed Jan 18 2017,7:30 pm,New York Knicks,,Boston Celtics,,,,
Wed Jan 18 2017,7:00 pm,Portland Trail Blazers,,Charlotte Hornets,,,,
Wed Jan 18 2017,8:00 pm,Atlanta Hawks,,Detroit Pistons,,,,
Wed Jan 18 2017,10:30 pm,Oklahoma City Thunder,,Golden State Warriors,,,,
Wed Jan 18 2017,8:00 pm,Milwaukee Bucks,,Houston Rockets,,,,
Wed Jan 18 2017,8:00 pm,Orlando Magic,,New Orleans Pelicans,,,,
Wed Jan 18 2017,7:00 pm,Toronto Raptors,,Philadelphia 76ers,,,,
Wed Jan 18 2017,10:30 pm,Indiana Pacers,,Sacramento Kings,,,,
Wed Jan 18 2017,7:00 pm,Memphis Grizzlies,,Washington Wizards,,,,
Thu Jan 19 2017,7:00 pm,Phoenix Suns,,Cleveland Cavaliers,,,,
Thu Jan 19 2017,10:30 pm,Minnesota Timberwolves,,Los Angeles Clippers,,,,
Thu Jan 19 2017,7:30 pm,Dallas Mavericks,,Miami Heat,,,,
Thu Jan 19 2017,8:00 pm,Washington Wizards,,New York Knicks,,,,
