Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Notes
Fri Nov 4 2016,10:30 pm,Golden State Warriors,,Los Angeles Lakers,,,,
Fri Nov 4 2016,8:00 pm,Los Angeles Clippers,,Memphis Grizzlies,,,,
Fri Nov 4 2016,8:00 pm,Phoenix Suns,,New Orleans Pelicans,,,,
Fri Nov 4 2016,7:30 pm,Miami Heat,,Toronto Raptors,,,,
Fri Nov 4 2016,9:00 pm,San Antonio Spurs,,Utah Jazz,,,,
Fri Nov 4 2016,7:00 pm,Atlanta Hawks,,Washington Wizards,,,,
Sat Nov 5 2016,7:30 pm,Houston Rockets,,Atlanta Hawks,,,,
Sat Nov 5 2016,7:00 pm,Denver Nuggets,,Detroit Pistons,,,,
Sat Nov 5 2016,7:00 pm,Chicago Bulls,,Indiana Pacers,,,,
Sat Nov 5 2016,8:00 pm,Sacramento Kings,,Milwaukee Bucks,,,,
Sat Nov 5 2016,6:00 pm,Minnesota Timberwolves,,Oklahoma City Thunder,,,,
Sat Nov 5 2016,7:00 pm,Washington Wizards,,Orlando Magic,,,,
Sat Nov 5 2016,7:00 pm,Cleveland Cavaliers,,Philadelphia 76ers,,,,
Sat Nov 5 2016,8:30 pm,Los Angeles Clippers,,San Antonio Spurs,,,,
Sun Nov 6 2016,7:30 pm,Denver Nuggets,,Boston Celtics,,,,
Sun Nov 6 2016,7:00 pm,Milwaukee Bucks,,Dallas Mavericks,,,,
Sun Nov 6 2016,9:30 pm,Phoenix Suns,,Los Angeles Lakers,,,,
Sun Nov 6 2016,3:30 pm,Portland Trail Blazers,,Memphis Grizzlies,,,,
Sun Nov 6 2016,12:00 pm,Utah Jazz,,New York Knicks,,,,
Sun Nov 6 2016,6:00 pm,Sacramento Kings,,Toronto Raptors,,,,
Mon Nov 7 2016,8:00 pm,Orlando Magic,,Chicago Bulls,,,,
Mon Nov 7 2016,7:00 pm,Indiana Pacers,,Charlotte Hornets,,,,
Mon Nov 7 2016,10:30 pm,New Orleans Pelicans,,Golden State Warriors,,,,
Mon Nov 7 2016,10:30 pm,Detroit Pistons,,Los Angeles Clippers,,,,
Mon Nov 7 2016,8:00 pm,Miami Heat,,Oklahoma City Thunder,,,,
Mon Nov 7 2016,7:00 pm,Utah Jazz,,Philadelphia 76ers,,,,
Mon Nov 7 2016,7:00 pm,Houston Rockets,,Washington Wizards,,,,
Tue Nov 8 2016,7:30 pm,Minnesota Timberwolves,,Brooklyn Nets,,,,
Tue Nov 8 2016,7:00 pm,Atlanta Hawks,,Cleveland Cavaliers,,,,
Tue Nov 8 2016,10:30 pm,Dallas Mavericks,,Los Angeles Lakers,,,,
Tue Nov 8 2016,8:00 pm,Denver Nuggets,,Memphis Grizzlies,,,,
Tue Nov 8 2016,10:00 pm,Phoenix Suns,,Portland Trail Blazers,,,,
Tue Nov 8 2016,10:30 pm,New Orleans Pelicans,,Sacramento Kings,,,,
Wed Nov 9 2016,7:30 pm,Chicago Bulls,,Atlanta Hawks,,,,
Wed Nov 9 2016,7:00 pm,Utah Jazz,,Charlotte Hornets,,,,
Wed Nov 9 2016,10:30 pm,Dallas Mavericks,,Golden State Warriors,,,,
Wed Nov 9 2016,7:00 pm,Philadelphia 76ers,,Indiana Pacers,,,,
Wed Nov 9 2016,10:30 pm,Portland Trail Blazers,,Los Angeles Clippers,,,,
Wed Nov 9 2016,7:00 pm,Brooklyn Nets,,New York Knicks,,,,
Wed Nov 9 2016,8:00 pm,Toronto Raptors,,Oklahoma City Thunder,,,,
Wed Nov 9 2016,7:00 pm,Minnesota Timberwolves,,Orlando Magic,,,,
Wed Nov 9 2016,9:00 pm,Detroit Pistons,,Phoenix Suns,,,,
Wed Nov 9 2016,9:30 pm,Houston Rockets,,San Antonio Spurs,,,,
Wed Nov 9 2016,7:00 pm,Boston Celtics,,Washington Wizards,,,,
Thu Nov 10 2016,9:00 pm,Golden State Warriors,,Denver Nuggets,,,,
Thu Nov 10 2016,8:00 pm,Chicago Bulls,,Miami Heat,,,,
Thu Nov 10 2016,8:00 pm,New Orleans Pelicans,,Milwaukee Bucks,,,,
Thu Nov 10 2016,10:30 pm,Los Angeles Lakers,,Sacramento Kings,,,,
Fri Nov 11 2016,7:30 pm,New York Knicks,,Boston Celtics,,,,
Fri Nov 11 2016,7:00 pm,Toronto Raptors,,Charlotte Hornets,,,,
Fri Nov 11 2016,8:00 pm,Los Angeles Clippers,,Oklahoma City Thunder,,,,
Fri Nov 11 2016,7:00 pm,Utah Jazz,,Orlando Magic,,,,
Fri Nov 11 2016,7:00 pm,Indiana Pacers,,Philadelphia 76ers,,,,
Fri Nov 11 2016,10:00 pm,Sacramento Kings,,Portland Trail Blazers,,,,
Fri Nov 11 2016,8:30 pm,Detroit Pistons,,San Antonio Spurs,,,,
Fri Nov 11 2016,7:00 pm,Cleveland Cavaliers,,Washington Wizards,,,,
Sat Nov 12 2016,7:30 pm,Philadelphia 76ers,,Atlanta Hawks,,,,
Sat Nov 12 2016,8:00 pm,Washington Wizards,,Chicago Bulls,,,,
Sat Nov 12 2016,9:00 pm,Detroit Pistons,,Denver Nuggets,,,,
Sat Nov 12 2016,8:00 pm,San Antonio Spurs,,Houston Rockets,,,,
Sat Nov 12 2016,7:00 pm,Boston Celtics,,Indiana Pacers,,,,
Sat Nov 12 2016,8:00 pm,Utah Jazz,,Miami Heat,,,,
Sat Nov 12 2016,8:30 pm,Memphis Grizzlies,,Milwaukee Bucks,,,,
Sat Nov 12 2016,8:00 pm,Los Angeles Clippers,,Minnesota Timberwolves,,,,
Sat Nov 12 2016,7:00 pm,Los Angeles Lakers,,New Orleans Pelicans,,,,
Sat Nov 12 2016,9:00 pm,Brooklyn Nets,,Phoenix Suns,,,,
Sat Nov 12 2016,7:30 pm,New York Knicks,,Toronto Raptors,,,,
Sun Nov 13 2016,3:30 pm,Charlotte Hornets,,Cleveland Cavaliers,,,,
